OBJECTID,ID,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Shape_Length,Shape_Area
192,103082,1.4,0.25,1.8,1.92,7.26,3.7,0.38,1.25,0.45,6.94,2.37,1.31,50078.2374,156738330
193,103083,1.4,0.26,1.82,2.13,7.69,3.72,0.29,0.92,0.34,6.37,2.07,1.08,50076.74967,156729016.7
194,103084,1.37,0.24,1.85,2.69,8.5,3.85,0.37,1.34,0.31,6.91,2.56,1.26,50075.25103,156719635.5
195,103085,1.48,0.27,2.01,3.08,9.4,4.06,0.64,1.96,0.31,7.77,2.77,1.34,50073.73877,156710169.3
196,103086,1.55,0.24,1.99,3.65,9.66,4.99,0.71,2.28,0.43,7.63,3.14,1.5,50072.21537,156700633.6
197,103087,1.57,0.29,2.04,4.6,10.18,5.26,0.78,2.31,0.39,7.85,3.88,1.48,50070.67958,156691020.7
198,103088,1.53,0.27,1.87,4.06,10.1,6.33,0.77,2.6,0.34,7.15,3.51,1.62,50069.13224,156681335.7
199,103089,1.51,0.34,2.06,4.02,10.98,6.75,0.84,2.3,0.57,7.15,3.51,1.69,50067.57291,156671576.1
200,103090,1.55,0.37,1.82,3.95,11.91,6.94,1.22,2.26,0.54,6.77,3.15,1.84,50066.00124,156661739.5
201,103500,1.07,0.23,2,1.81,6.97,2.36,0.08,0.78,0.44,6.23,2.83,0.86,50070.55643,156690255.4
202,103501,1.1,0.21,2.1,1.68,7.32,2.42,0.11,0.75,0.52,6.17,2.47,1.01,50069.15579,156681488.6
203,103502,1.15,0.22,2.12,1.87,7.2,2.78,0.09,0.68,0.69,5.55,2.66,1.08,50067.74395,156672652.1
204,103503,1.14,0.23,2.24,2.09,6.71,2.42,0.11,0.78,0.84,5.06,3.21,1.22,50066.31909,156663734.3
205,103504,1.1,0.22,2.35,2.09,6.67,3.14,0.16,1.25,0.73,6.61,2.63,1.29,50064.8834,156654748.9
206,103505,1.25,0.24,2.14,2.16,6.61,4.48,0.19,1.74,1.08,7.1,2.57,1.23,50063.4345,156645681.2
207,103506,1.3,0.23,2.01,1.94,6.95,5.1,0.19,1.32,1.15,6.91,2.65,1.23,50061.97405,156636541.4
208,103507,1.36,0.28,1.86,2.11,7.31,4.37,0.26,0.54,0.59,6.83,2.22,1.14,50060.50097,156627322.9
